Month,L,M,S
0,-0.3053,13.4069,0.0956
1,0.2881,14.7714,0.09072
2,0.1238,16.2336,0.087
3,0.0137,16.8701,0.08506
4,-0.0662,17.1409,0.08387
5,-0.1328,17.2854,0.08302
6,-0.187,17.3406,0.08239
7,-0.2354,17.3314,0.08186
8,-0.2769,17.2715,0.08143
9,-0.3142,17.1767,0.08105
10,-0.3491,17.0583,0.0807
11,-0.38,16.9355,0.0804
12,-0.4095,16.8074,0.08011
13,-0.4359,16.6851,0.07984
14,-0.4614,16.5629,0.07959
15,-0.4844,16.4502,0.07937
16,-0.5061,16.3438,0.07915
17,-0.5273,16.2407,0.07894
18,-0.5466,16.1477,0.07874
19,-0.5656,16.0591,0.07855
20,-0.583,15.9811,0.07837
21,-0.6002,15.9087,0.0782
22,-0.6161,15.8463,0.07803
23,-0.6318,15.7888,0.07787
24,-0.6464,15.7388,0.07772
25,-0.5874,15.9838,0.07791
26,-0.5523,15.9443,0.07799
27,-0.5196,15.9071,0.07808
28,-0.4873,15.8694,0.07818
29,-0.4578,15.8338,0.07828
30,-0.4293,15.7977,0.0784
31,-0.4037,15.7635,0.07853
32,-0.3804,15.73,0.07866
33,-0.3588,15.6961,0.07881
34,-0.3404,15.664,0.07896
35,-0.3242,15.6318,0.07912
36,-0.3112,15.6015,0.07929
37,-0.3006,15.5714,0.07948
38,-0.2932,15.5434,0.07967
39,-0.2886,15.5158,0.07989
40,-0.2869,15.4905,0.08011
41,-0.2879,15.4667,0.08034
42,-0.2915,15.4437,0.08059
43,-0.2975,15.4229,0.08085
44,-0.306,15.4027,0.08113
45,-0.3164,15.3843,0.08141
46,-0.3293,15.3664,0.08172
47,-0.3439,15.3499,0.08203
48,-0.3604,15.3341,0.08235
49,-0.3795,15.3186,0.08269
50,-0.3998,15.3043,0.08304
51,-0.4227,15.2901,0.08341
52,-0.4465,15.277,0.08377
53,-0.4728,15.2642,0.08415
54,-0.4995,15.2524,0.08453
55,-0.5283,15.2408,0.08493
56,-0.5574,15.23,0.08533
57,-0.5875,15.2198,0.08573
58,-0.6198,15.2098,0.08614
59,-0.6521,15.2008,0.08655
60,-0.6866,15.1922,0.08697
61,-0.7211,15.1845,0.08737
