Month,L,M,S
0,-0.0631,13.3363,0.09272
1,0.3637,14.4208,0.09577
2,0.1875,15.689,0.09385
3,0.0715,16.3247,0.09262
4,-0.0124,16.6492,0.09173
5,-0.082,16.8302,0.091
6,-0.1384,16.9055,0.09041
7,-0.1885,16.9044,0.08988
8,-0.2311,16.8471,0.08942
9,-0.269,16.7515,0.08902
10,-0.3043,16.6284,0.08864
11,-0.3353,16.4997,0.0883
12,-0.3647,16.3663,0.08799
13,-0.3909,16.2419,0.0877
14,-0.4161,16.1207,0.08743
15,-0.4388,16.0118,0.08718
16,-0.4602,15.9112,0.08695
17,-0.481,15.8166,0.08673
18,-0.5,15.7338,0.08652
19,-0.5186,15.6571,0.08632
20,-0.5357,15.5911,0.08613
21,-0.5526,15.5316,0.08595
22,-0.5682,15.4826,0.08578
23,-0.5836,15.4405,0.08561
24,-0.5979,15.4072,0.08546
25,-0.5684,15.6618,0.08452
26,-0.5684,15.6329,0.08449
27,-0.5684,15.6062,0.08447
28,-0.5684,15.5796,0.08444
29,-0.5684,15.5545,0.08443
30,-0.5684,15.5293,0.08444
31,-0.5684,15.5054,0.08447
32,-0.5684,15.4821,0.08454
33,-0.5684,15.4589,0.08466
34,-0.5684,15.4376,0.08482
35,-0.5684,15.4169,0.08505
36,-0.5684,15.3984,0.08532
37,-0.5684,15.3808,0.08566
38,-0.5684,15.3651,0.08605
39,-0.5684,15.3502,0.08651
40,-0.5684,15.3369,0.08699
41,-0.5684,15.3244,0.08752
42,-0.5684,15.3125,0.08809
43,-0.5684,15.3016,0.08866
44,-0.5684,15.2913,0.08927
45,-0.5684,15.2821,0.08986
46,-0.5684,15.2737,0.09047
47,-0.5684,15.2667,0.09105
48,-0.5684,15.2608,0.09163
49,-0.5684,15.2559,0.09223
50,-0.5684,15.2525,0.09281
51,-0.5684,15.2504,0.09341
52,-0.5684,15.2497,0.09398
53,-0.5684,15.2501,0.09456
54,-0.5684,15.2517,0.0951
55,-0.5684,15.2542,0.09564
56,-0.5684,15.2572,0.09614
57,-0.5684,15.2608,0.0966
58,-0.5684,15.265,0.09706
59,-0.5684,15.2694,0.09746
60,-0.5684,15.2743,0.09786
61,-0.5684,15.2794,0.09823
