Month,L,M,S
61,1.0,110.2647,0.04164
62,1.0,110.8006,0.04172
63,1.0,111.3338,0.0418
64,1.0,111.8636,0.04187
65,1.0,112.3895,0.04195
66,1.0,112.911,0.04203
67,1.0,113.428,0.04211
68,1.0,113.941,0.04218
69,1.0,114.45,0.04226
70,1.0,114.9547,0.04234
71,1.0,115.4549,0.04241
72,1.0,115.9509,0.04249
73,1.0,116.4432,0.04257
74,1.0,116.9325,0.04264
75,1.0,117.4196,0.04272
76,1.0,117.9046,0.0428
77,1.0,118.388,0.04287
78,1.0,118.87,0.04295
79,1.0,119.3508,0.04303
80,1.0,119.8303,0.04311
81,1.0,120.3085,0.04318
82,1.0,120.7853,0.04326
83,1.0,121.2604,0.04334
84,1.0,121.7338,0.04342
85,1.0,122.2053,0.0435
86,1.0,122.675,0.04358
87,1.0,123.1429,0.04366
88,1.0,123.6092,0.04374
89,1.0,124.0736,0.04382
90,1.0,124.5361,0.0439
91,1.0,124.9964,0.04398
92,1.0,125.4545,0.04406
93,1.0,125.9104,0.04414
94,1.0,126.364,0.04422
95,1.0,126.8156,0.0443
96,1.0,127.2651,0.04438
97,1.0,127.7129,0.04446
98,1.0,128.159,0.04454
99,1.0,128.6034,0.04462
100,1.0,129.0466,0.0447
101,1.0,129.4887,0.04478
102,1.0,129.93,0.04487
103,1.0,130.3705,0.04495
104,1.0,130.8103,0.04503
105,1.0,131.2495,0.04511
106,1.0,131.6884,0.04519
107,1.0,132.1269,0.04527
108,1.0,132.5652,0.04535
109,1.0,133.0031,0.04543
110,1.0,133.4404,0.04551
111,1.0,133.877,0.04559
112,1.0,134.313,0.04566
113,1.0,134.7483,0.04574
114,1.0,135.1829,0.04582
115,1.0,135.6168,0.04589
116,1.0,136.0501,0.04597
117,1.0,136.4829,0.04604
118,1.0,136.9153,0.04612
119,1.0,137.3474,0.04619
120,1.0,137.7795,0.04626
121,1.0,138.2119,0.04633
122,1.0,138.6452,0.0464
123,1.0,139.0797,0.04647
124,1.0,139.5158,0.04654
125,1.0,139.954,0.04661
126,1.0,140.3948,0.04667
127,1.0,140.8387,0.04674
128,1.0,141.2859,0.0468
129,1.0,141.7368,0.04686
130,1.0,142.1916,0.04692
131,1.0,142.6501,0.04698
132,1.0,143.1126,0.04703
133,1.0,143.5795,0.04709
134,1.0,144.0511,0.04714
135,1.0,144.5276,0.04719
136,1.0,145.0093,0.04723
137,1.0,145.4964,0.04728
138,1.0,145.9891,0.04732
139,1.0,146.4878,0.04736
140,1.0,146.9927,0.0474
141,1.0,147.5041,0.04744
142,1.0,148.0224,0.04747
143,1.0,148.5478,0.0475
144,1.0,149.0807,0.04753
145,1.0,149.6212,0.04755
146,1.0,150.1694,0.04758
147,1.0,150.7256,0.04759
148,1.0,151.2899,0.04761
149,1.0,151.8623,0.04762
150,1.0,152.4425,0.04763
151,1.0,153.0298,0.04763
152,1.0,153.6234,0.04764
153,1.0,154.2223,0.04763
154,1.0,154.8258,0.04763
155,1.0,155.4329,0.04762
156,1.0,156.0426,0.0476
157,1.0,156.6539,0.04758
158,1.0,157.266,0.04756
159,1.0,157.8775,0.04754
160,1.0,158.4871,0.04751
161,1.0,159.0937,0.04747
162,1.0,159.6962,0.04744
163,1.0,160.2939,0.0474
164,1.0,160.8861,0.04735
165,1.0,161.472,0.0473
166,1.0,162.0505,0.04725
167,1.0,162.6207,0.0472
168,1.0,163.1816,0.04714
169,1.0,163.7321,0.04707
170,1.0,164.2717,0.04701
171,1.0,164.7994,0.04694
172,1.0,165.3145,0.04687
173,1.0,165.8165,0.04679
174,1.0,166.305,0.04671
175,1.0,166.7799,0.04663
176,1.0,167.2415,0.04655
177,1.0,167.6899,0.04646
178,1.0,168.1255,0.04637
179,1.0,168.5482,0.04628
180,1.0,168.958,0.04619
181,1.0,169.3549,0.04609
182,1.0,169.7389,0.04599
183,1.0,170.1099,0.04589
184,1.0,170.468,0.04579
185,1.0,170.8136,0.04569
186,1.0,171.1468,0.04559
187,1.0,171.468,0.04548
188,1.0,171.7773,0.04538
189,1.0,172.0748,0.04527
190,1.0,172.3606,0.04516
191,1.0,172.6345,0.04506
192,1.0,172.8967,0.04495
193,1.0,173.147,0.04484
194,1.0,173.3856,0.04473
195,1.0,173.6126,0.04462
196,1.0,173.828,0.04451
197,1.0,174.0321,0.0444
198,1.0,174.2251,0.04429
199,1.0,174.4071,0.04418
200,1.0,174.5784,0.04407
201,1.0,174.7392,0.04396
202,1.0,174.8896,0.04385
203,1.0,175.0301,0.04375
204,1.0,175.1609,0.04364
205,1.0,175.2824,0.04353
206,1.0,175.3951,0.04343
207,1.0,175.4995,0.04332
208,1.0,175.5959,0.04322
209,1.0,175.685,0.04311
210,1.0,175.7672,0.04301
211,1.0,175.8432,0.04291
212,1.0,175.9133,0.04281
213,1.0,175.9781,0.04271
214,1.0,176.038,0.04261
215,1.0,176.0935,0.04251
216,1.0,176.1449,0.04241
217,1.0,176.1925,0.04232
218,1.0,176.2368,0.04222
219,1.0,176.2779,0.04213
220,1.0,176.3162,0.04204
221,1.0,176.3518,0.04195
222,1.0,176.3851,0.04185
223,1.0,176.4162,0.04177
224,1.0,176.4453,0.04168
225,1.0,176.4724,0.04159
226,1.0,176.4976,0.0415
227,1.0,176.5211,0.04142
228,1.0,176.5432,0.04134
