Month,L,M,S
61,1.0,109.6016,0.04355
62,1.0,110.1258,0.04364
63,1.0,110.6451,0.04373
64,1.0,111.1596,0.04382
65,1.0,111.6696,0.0439
66,1.0,112.1753,0.04399
67,1.0,112.6767,0.04407
68,1.0,113.174,0.04415
69,1.0,113.6672,0.04423
70,1.0,114.1565,0.04431
71,1.0,114.6421,0.04439
72,1.0,115.1244,0.04447
73,1.0,115.6039,0.04454
74,1.0,116.0812,0.04461
75,1.0,116.5568,0.04469
76,1.0,117.0311,0.04475
77,1.0,117.5044,0.04482
78,1.0,117.9769,0.04489
79,1.0,118.4489,0.04495
80,1.0,118.9208,0.04502
81,1.0,119.3926,0.04508
82,1.0,119.8648,0.04514
83,1.0,120.3374,0.0452
84,1.0,120.8105,0.04525
85,1.0,121.2843,0.04531
86,1.0,121.7587,0.04536
87,1.0,122.2338,0.04542
88,1.0,122.7098,0.04547
89,1.0,123.1868,0.04551
90,1.0,123.6646,0.04556
91,1.0,124.1435,0.04561
92,1.0,124.6234,0.04565
93,1.0,125.1045,0.04569
94,1.0,125.5869,0.04573
95,1.0,126.0706,0.04577
96,1.0,126.5558,0.04581
97,1.0,127.0424,0.04585
98,1.0,127.5304,0.04588
99,1.0,128.0199,0.04591
100,1.0,128.5109,0.04594
101,1.0,129.0035,0.04597
102,1.0,129.4975,0.046
103,1.0,129.9932,0.04602
104,1.0,130.4904,0.04604
105,1.0,130.9891,0.04607
106,1.0,131.4895,0.04608
107,1.0,131.9912,0.0461
108,1.0,132.4944,0.04612
109,1.0,132.9989,0.04613
110,1.0,133.5046,0.04614
111,1.0,134.0118,0.04615
112,1.0,134.5202,0.04616
113,1.0,135.0299,0.04616
114,1.0,135.541,0.04617
115,1.0,136.0533,0.04617
116,1.0,136.567,0.04616
117,1.0,137.0821,0.04616
118,1.0,137.5987,0.04616
119,1.0,138.1167,0.04615
120,1.0,138.6363,0.04614
121,1.0,139.1575,0.04612
122,1.0,139.6803,0.04611
123,1.0,140.2049,0.04609
124,1.0,140.7313,0.04607
125,1.0,141.2594,0.04605
126,1.0,141.7892,0.04603
127,1.0,142.3206,0.046
128,1.0,142.8534,0.04597
129,1.0,143.3874,0.04594
130,1.0,143.9222,0.04591
131,1.0,144.4575,0.04588
132,1.0,144.9929,0.04584
133,1.0,145.528,0.0458
134,1.0,146.0622,0.04576
135,1.0,146.5951,0.04571
136,1.0,147.1262,0.04567
137,1.0,147.6548,0.04562
138,1.0,148.1804,0.04557
139,1.0,148.7023,0.04552
140,1.0,149.2197,0.04546
141,1.0,149.7322,0.04541
142,1.0,150.239,0.04535
143,1.0,150.7394,0.04529
144,1.0,151.2327,0.04523
145,1.0,151.7182,0.04516
146,1.0,152.1951,0.0451
147,1.0,152.6628,0.04503
148,1.0,153.1206,0.04497
149,1.0,153.5678,0.0449
150,1.0,154.0041,0.04483
151,1.0,154.429,0.04476
152,1.0,154.8423,0.04468
153,1.0,155.2437,0.04461
154,1.0,155.633,0.04454
155,1.0,156.0101,0.04446
156,1.0,156.3748,0.04439
157,1.0,156.7269,0.04431
158,1.0,157.0666,0.04423
159,1.0,157.3936,0.04415
160,1.0,157.7082,0.04408
161,1.0,158.0102,0.044
162,1.0,158.2997,0.04392
163,1.0,158.5771,0.04384
164,1.0,158.8425,0.04376
165,1.0,159.0961,0.04369
166,1.0,159.3382,0.04361
167,1.0,159.5691,0.04353
168,1.0,159.789,0.04345
169,1.0,159.9983,0.04337
170,1.0,160.1971,0.0433
171,1.0,160.3857,0.04322
172,1.0,160.5643,0.04314
173,1.0,160.7332,0.04307
174,1.0,160.8927,0.04299
175,1.0,161.043,0.04292
176,1.0,161.1845,0.04284
177,1.0,161.3176,0.04277
178,1.0,161.4425,0.0427
179,1.0,161.5596,0.04263
180,1.0,161.6692,0.04255
181,1.0,161.7717,0.04248
182,1.0,161.8673,0.04241
183,1.0,161.9564,0.04235
184,1.0,162.0393,0.04228
185,1.0,162.1164,0.04221
186,1.0,162.188,0.04214
187,1.0,162.2542,0.04208
188,1.0,162.3154,0.04201
189,1.0,162.3719,0.04195
190,1.0,162.4239,0.04189
191,1.0,162.4717,0.04182
192,1.0,162.5156,0.04176
193,1.0,162.556,0.0417
194,1.0,162.5933,0.04164
195,1.0,162.6276,0.04158
196,1.0,162.6594,0.04152
197,1.0,162.689,0.04147
198,1.0,162.7165,0.04141
199,1.0,162.7425,0.04136
200,1.0,162.767,0.0413
201,1.0,162.7904,0.04125
202,1.0,162.8126,0.04119
203,1.0,162.834,0.04114
204,1.0,162.8545,0.04109
205,1.0,162.8743,0.04104
206,1.0,162.8935,0.04099
207,1.0,162.912,0.04094
208,1.0,162.93,0.04089
209,1.0,162.9476,0.04084
210,1.0,162.9649,0.0408
211,1.0,162.9817,0.04075
212,1.0,162.9983,0.04071
213,1.0,163.0144,0.04066
214,1.0,163.03,0.04062
215,1.0,163.0451,0.04058
216,1.0,163.0595,0.04053
217,1.0,163.0733,0.04049
218,1.0,163.0862,0.04045
219,1.0,163.0982,0.04041
220,1.0,163.1092,0.04037
221,1.0,163.1192,0.04034
222,1.0,163.1279,0.0403
223,1.0,163.1355,0.04026
224,1.0,163.1418,0.04023
225,1.0,163.1469,0.04019
226,1.0,163.1508,0.04016
227,1.0,163.1534,0.04012
228,1.0,163.1548,0.04009
