Month,L,M,S
0,1.0,49.8842,0.03795
1,1.0,54.3881,0.0357
2,1.0,58.1109,0.03434
3,1.0,61.2212,0.03334
4,1.0,63.6842,0.03263
5,1.0,65.769,0.03207
6,1.0,67.4836,0.03168
7,1.0,69.0641,0.03141
8,1.0,70.4843,0.03125
9,1.0,71.839,0.03118
10,1.0,73.1808,0.03118
11,1.0,74.4247,0.03124
12,1.0,75.6608,0.03136
13,1.0,76.8169,0.03152
14,1.0,77.9719,0.03172
15,1.0,79.0547,0.03195
16,1.0,80.1076,0.0322
17,1.0,81.1667,0.03247
18,1.0,82.1644,0.03276
19,1.0,83.168,0.03308
20,1.0,84.114,0.03339
21,1.0,85.0683,0.03373
22,1.0,85.9698,0.03407
23,1.0,86.881,0.03442
24,1.0,87.7449,0.03477
25,1.0,87.8903,0.03539
26,1.0,88.7422,0.03574
27,1.0,89.5455,0.03607
28,1.0,90.3541,0.0364
29,1.0,91.1156,0.03671
30,1.0,91.881,0.03702
31,1.0,92.6023,0.0373
32,1.0,93.3059,0.03758
33,1.0,94.0159,0.03785
34,1.0,94.6893,0.0381
35,1.0,95.3731,0.03834
36,1.0,96.0243,0.03856
37,1.0,96.6873,0.03878
38,1.0,97.3199,0.03898
39,1.0,97.9647,0.03917
40,1.0,98.5801,0.03935
41,1.0,99.1869,0.03952
42,1.0,99.8046,0.03969
43,1.0,100.3937,0.03985
44,1.0,100.9941,0.04001
45,1.0,101.5676,0.04015
46,1.0,102.1534,0.0403
47,1.0,102.7148,0.04044
48,1.0,103.2718,0.04058
49,1.0,103.8438,0.04072
50,1.0,104.3947,0.04085
51,1.0,104.9619,0.04099
52,1.0,105.5094,0.04112
53,1.0,106.074,0.04125
54,1.0,106.6192,0.04138
55,1.0,107.1814,0.04151
56,1.0,107.7245,0.04164
57,1.0,108.2667,0.04176
58,1.0,108.8261,0.04189
59,1.0,109.3664,0.04201
60,1.0,109.9234,0.04213
61,1.0,110.4611,0.04225
