Month,L,M,S
0,1.0,49.1477,0.0379
1,1.0,53.3809,0.03647
2,1.0,56.78,0.03574
3,1.0,59.6126,0.03523
4,1.0,61.8988,0.03488
5,1.0,63.9,0.03464
6,1.0,65.5911,0.03449
7,1.0,67.1852,0.03441
8,1.0,68.6325,0.0344
9,1.0,70.0116,0.03444
10,1.0,71.3792,0.03452
11,1.0,72.6538,0.03463
12,1.0,73.9245,0.03478
13,1.0,75.113,0.03494
14,1.0,76.3016,0.03513
15,1.0,77.4162,0.03532
16,1.0,78.4989,0.03553
17,1.0,79.5868,0.03574
18,1.0,80.6112,0.03596
19,1.0,81.6423,0.03619
20,1.0,82.6156,0.03641
21,1.0,83.597,0.03664
22,1.0,84.5239,0.03686
23,1.0,85.4588,0.03709
24,1.0,86.3426,0.03732
25,1.0,86.5068,0.03784
26,1.0,87.3801,0.03806
27,1.0,88.2065,0.03828
28,1.0,89.0406,0.0385
29,1.0,89.8293,0.0387
30,1.0,90.6258,0.03891
31,1.0,91.3794,0.03911
32,1.0,92.1175,0.03931
33,1.0,92.8657,0.0395
34,1.0,93.5769,0.03969
35,1.0,94.2998,0.03987
36,1.0,94.9888,0.04005
37,1.0,95.6907,0.04023
38,1.0,96.3606,0.04039
39,1.0,97.0434,0.04056
40,1.0,97.6954,0.04072
41,1.0,98.3389,0.04088
42,1.0,98.9949,0.04104
43,1.0,99.6212,0.04119
44,1.0,100.2598,0.04134
45,1.0,100.8695,0.04148
46,1.0,101.4914,0.04163
47,1.0,102.0855,0.04177
48,1.0,102.6728,0.04191
49,1.0,103.2728,0.04205
50,1.0,103.8473,0.04219
51,1.0,104.435,0.04232
52,1.0,104.9981,0.04245
53,1.0,105.5744,0.04259
54,1.0,106.1268,0.04271
55,1.0,106.6921,0.04284
56,1.0,107.2339,0.04296
57,1.0,107.7705,0.04309
58,1.0,108.3195,0.04321
59,1.0,108.8457,0.04333
60,1.0,109.3844,0.04346
61,1.0,109.9009,0.04358
