Month,L,M,S
0,0.3487,3.3464,0.14602
1,0.2331,4.3671,0.13497
2,0.1996,5.4784,0.12463
3,0.1754,6.3223,0.11767
4,0.1568,6.9513,0.11345
5,0.1406,7.4772,0.11092
6,0.1269,7.9002,0.10965
7,0.1142,8.2739,0.10905
8,0.103,8.5903,0.10883
9,0.0927,8.8748,0.1088
10,0.0827,9.145,0.1089
11,0.0738,9.3898,0.10904
12,0.065,9.6308,0.10924
13,0.057,9.8551,0.10947
14,0.0492,10.0801,0.10974
15,0.0419,10.2928,0.11005
16,0.035,10.502,0.11038
17,0.0281,10.7153,0.11075
18,0.0217,10.9191,0.11115
19,0.0153,11.1275,0.1116
20,0.0093,11.3278,0.11207
21,0.0033,11.5341,0.11258
22,-0.0023,11.733,0.1131
23,-0.0079,11.9378,0.11365
24,-0.0132,12.1351,0.11421
25,-0.0184,12.3311,0.11479
26,-0.0236,12.5314,0.1154
27,-0.0285,12.7224,0.11599
28,-0.0334,12.9164,0.11659
29,-0.0381,13.1006,0.11717
30,-0.0428,13.2873,0.11777
31,-0.0472,13.4648,0.11834
32,-0.0516,13.6394,0.11891
33,-0.056,13.8171,0.11948
34,-0.0602,13.9869,0.12003
35,-0.0645,14.1607,0.12058
36,-0.0685,14.3277,0.12111
37,-0.0726,14.4992,0.12165
38,-0.0765,14.6646,0.12216
39,-0.0805,14.8352,0.12268
40,-0.0843,15.0002,0.12318
41,-0.088,15.1651,0.12368
42,-0.0918,15.3355,0.12421
43,-0.0954,15.5003,0.12473
44,-0.099,15.6705,0.12527
45,-0.1025,15.835,0.12581
46,-0.1061,16.0047,0.12639
47,-0.1094,16.1687,0.12695
48,-0.1128,16.3325,0.12753
49,-0.1162,16.5017,0.12814
50,-0.1195,16.6654,0.12875
51,-0.1228,16.8345,0.12938
52,-0.1259,16.9982,0.13
53,-0.1292,17.1673,0.13064
54,-0.1323,17.3309,0.13127
55,-0.1354,17.4999,0.13192
56,-0.1385,17.6632,0.13256
57,-0.1414,17.8262,0.13319
58,-0.1445,17.9945,0.13384
59,-0.1474,18.157,0.13448
60,-0.1504,18.3244,0.13513
61,-0.1533,18.486,0.13575
