Month,L,M,S
0,0.3809,3.2322,0.14171
1,0.1789,4.0987,0.13805
2,0.1022,5.0509,0.1305
3,0.044,5.7969,0.12641
4,-0.0013,6.3761,0.12417
5,-0.0404,6.8673,0.12281
6,-0.0729,7.265,0.12208
7,-0.1021,7.6202,0.12179
8,-0.1269,7.9247,0.1218
9,-0.1487,8.1998,0.12197
10,-0.1686,8.4607,0.12221
11,-0.1857,8.6976,0.12245
12,-0.2013,8.9314,0.12266
13,-0.2147,9.1506,0.12282
14,-0.227,9.372,0.12293
15,-0.2376,9.5829,0.12299
16,-0.247,9.7916,0.12302
17,-0.2556,10.0058,0.12305
18,-0.263,10.2119,0.12309
19,-0.2698,10.4236,0.12315
20,-0.2757,10.6277,0.12323
21,-0.2811,10.8385,0.12334
22,-0.2858,11.0429,0.12349
23,-0.2901,11.2547,0.12367
24,-0.2938,11.4603,0.12388
25,-0.2972,11.6662,0.12411
26,-0.3003,11.8785,0.12439
27,-0.303,12.0825,0.12469
28,-0.3056,12.2909,0.12504
29,-0.3078,12.4896,0.12541
30,-0.3099,12.6918,0.12584
31,-0.3119,12.8843,0.12629
32,-0.3136,13.0742,0.12678
33,-0.3154,13.2684,0.12732
34,-0.317,13.4552,0.12788
35,-0.3185,13.6475,0.1285
36,-0.32,13.8333,0.12913
37,-0.3215,14.025,0.12982
38,-0.3228,14.2103,0.13053
39,-0.3242,14.4013,0.13129
40,-0.3256,14.5857,0.13206
41,-0.3269,14.7693,0.13286
42,-0.3282,14.9583,0.13369
43,-0.3295,15.1403,0.13452
44,-0.3308,15.3275,0.13539
45,-0.3321,15.5079,0.13623
46,-0.3334,15.6936,0.1371
47,-0.3347,15.8729,0.13793
48,-0.336,16.0519,0.13876
49,-0.3373,16.2365,0.13961
50,-0.3386,16.4151,0.14043
51,-0.3399,16.5995,0.14126
52,-0.3412,16.7778,0.14206
53,-0.3426,16.9619,0.14287
54,-0.3439,17.1395,0.14364
55,-0.3452,17.3226,0.14443
56,-0.3465,17.499,0.14519
57,-0.3478,17.6745,0.14593
58,-0.3491,17.8548,0.14669
59,-0.3504,18.0283,0.14742
60,-0.3517,18.2064,0.14816
61,-0.353,18.3777,0.14887
